350,278,837,456,863,237,762,523,384,669,739,605,347,627,596,514,105,465,279,755
62,526,981,87,202,289,645,187,281,339,754,295,743,311,284,295,69,127,246,183
281,304,313,986,693,187,581,286,204,531,897,841,367,309,944,505,762,909,978,945
79,198,729,611,789,430,966,953,333,780,782,371,200,149,651,959,694,251,162,64
295,462,345,840,799,560,534,595,302,5,953,989,59,47,374,47,508,613,188,750
645,0,967,189,595,835,199,581,373,526,316,373,845,374,603,42,786,544,143,228
957,327,453,914,80,141,259,11,783,600,449,193,55,286,218,474,406,548,766,635
101,878,912,154,274,304,464,857,550,744,64,710,782,583,618,690,423,327,515,777
247,495,458,70,528,297,901,669,74,399,353,443,599,949,916,670,525,437,831,394
631,402,283,894,814,822,965,358,783,790,269,346,133,84,146,170,558,45,235,227
497,512,233,41,947,843,827,208,923,879,578,92,19,765,939,678,575,182,85,470
976,907,89,845,193,212,510,179,831,593,933,558,80,577,475,103,598,309,775,501
842,636,958,566,938,139,928,99,798,100,398,317,676,387,624,160,424,446,601,223
376,232,907,552,954,451,382,715,545,889,338,950,791,309,464,657,847,879,359,103
228,363,52,48,833,293,259,761,175,565,682,298,420,66,15,635,479,289,947,116
996,918,72,719,728,565,766,150,672,633,703,352,766,312,898,222,81,480,990,97
105,274,659,144,321,837,536,126,776,369,689,422,746,303,839,163,171,102,748,346
512,17,803,782,795,587,669,984,718,599,646,231,635,63,110,693,766,337,717,219
259,233,565,764,390,174,221,637,162,219,662,636,366,285,86,32,181,722,986,673
977,669,983,989,310,137,885,68,106,120,653,766,753,925,539,873,464,133,315,119
79,475,427,435,0,4,779,475,709,257,15,11,46,695,26,287,497,861,686,990
377,854,307,399,966,284,517,534,551,894,623,282,750,963,258,19,31,2,20,416
122,661,328,363,679,593,384,844,463,329,987,265,41,100,512,866,114,523,946,942
537,553,654,668,126,714,124,54,197,439,240,907,394,582,542,956,738,193,708,562
857,364,985,72,453,748,679,146,531,66,32,38,531,732,171,839,519,20,700,151
283,209,700,236,334,925,851,917,318,798,188,977,476,650,329,915,939,574,220,241
312,8,37,51,20,350,73,707,137,170,137,488,222,894,351,507,248,277,685,670
379,710,985,255,337,348,565,12,522,890,104,536,3,221,287,516,860,138,292,346
998,546,754,796,240,871,640,281,939,532,663,252,485,550,850,374,663,182,781,76
